👀,eyes
🎓,mortar_board
⛳,flags
🎆,fireworks
✨,sparkler
🎐,wind_chime
🎃,jack_o_lantern
👻,ghost
🎅,santa
🎄,christmas_tree
🎁,gift
🔔,bell
🔕,no_bell
🎋,tanabata_tree
🎉,tada
🎊,confetti_ball
🎈,balloon
🔮,crystal_ball
💿,cd
📀,dvd
💾,floppy_disk
📷,camera
📹,video_camera
🎥,movie_camera
🖥️,computer
📺,tv
📱,phone
☎️,telephone
📞,telephone_receiver
📟,pager
📠,fax
💽,minidisc
📼,vhs
🏠,house
🏡,house_with_garden
🏫,school
🏢,office
🏤,post_office
🏥,hospital
🏦,bank
🏪,convenience_store
🏨,hotel
💒,wedding
⛪,church
🏬,department_store
⛺,tent
🏭,factory
🗼,tokyo_tower
🗾,japan
🗻,mount_fuji
🌄,sunrise_over_mountains
🌅,sunrise
🗽,statue_of_liberty
🌉,bridge_at_night
🎠,carousel_horse
🌈,rainbow
🎡,ferris_wheel
⛲,fountain
🎢,roller_coaster
🚢,ship
🚤,speedboat
🛥️,boat
⛵,sailboat
🔥,fire
